,category_title,tag,koef
0,Авто-мото,нуждин,0.5775199017518126
0,Авто-мото,jado,0.3334135515268196
0,Авто-мото,глушилка,0.3170405646214847
0,Авто-мото,evos,0.3036444844262107
0,Авто-мото,n7x,0.3036444844262107
0,Авто-мото,нуждина,0.3036444844262107
0,Авто-мото,verity,0.28473237120935335
0,Авто-мото,бикини,0.279287974980258
0,Авто-мото,4g0,0.26792160390548003
0,Авто-мото,947,0.26792160390548003
0,Авто-мото,renumax,0.264349315853407
0,Авто-мото,лазаревское,0.2607770278013339
0,Авто-мото,talagon,0.260266700936752
0,Авто-мото,d230,0.25006016364511474
0,Авто-мото,8700s,0.24112944351493204
0,Авто-мото,хеймердингер,0.2381525368048711
0,Авто-мото,ski,0.23666408344984072
0,Авто-мото,jansite,0.23666408344984072
0,Авто-мото,проставки,0.23471441919606845
0,Авто-мото,экранного,0.23219872338474937
0,Авто-мото,jadi,0.22326800325456672
0,Авто-мото,https://vk.com/id276859545,0.22210312671584723
0,Авто-мото,ste,0.21433728312438405
0,Авто-мото,paragon),0.20540656299420137
0,Авто-мото,#заменить,0.20540656299420137
0,Авто-мото,doo,0.20540656299420135
0,Авто-мото,wezzer,0.20004813091609178
0,Авто-мото,zsa44,0.19290355481194563
0,Авто-мото,kaisha,0.1905220294438969
0,Авто-мото,лазаревском,0.1905220294438969
0,Авто-мото,c40,0.1905220294438969
0,Авто-мото,kx11,0.19009675705674536
0,Авто-мото,https://www.youtube.com/edit?o=u&vide..,0.18754512273383603
0,Авто-мото,ежъ,0.17861440260365338
0,Авто-мото,уваров,0.17861440260365338
0,Авто-мото,om,0.17699063530725653
0,Авто-мото,xps,0.17638172257110768
0,Авто-мото,tl4,0.17638172257110768
0,Авто-мото,anticam,0.17414904253856203
0,Авто-мото,2002-05,0.17266058918353158
0,Авто-мото,tcw3,0.1696836824734707
0,Авто-мото,xpf,0.1696836824734707
0,Авто-мото,смешать,0.16789753844743416
0,Авто-мото,speedtail,0.1667067757634098
0,Авто-мото,bluavido,0.15628760227819669
0,Авто-мото,тигго,0.15568777779184112
0,Авто-мото,4-matic,0.1536083862391419
0,Авто-мото,валах,0.1528145444497923
0,Авто-мото,1шт.кабель,0.15182224221310536
0,Авто-мото,свадеб,0.15182224221310536
0,Авто-мото,skyboard,0.1503337888580749
0,Авто-мото,ani,0.1428915220829227
0,Авто-мото,polymerium,0.14140306872789224
0,Авто-мото,лойова,0.14065884205037701
0,Авто-мото,k9,0.13931923403084961
0,Авто-мото,rinnol,0.13693770866280092
0,Авто-мото,1/18,0.13574694597877657
0,Авто-мото,qualitet,0.13396080195274002
0,Авто-мото,подделку),0.13396080195274002
0,Авто-мото,fc8,0.13268498479128535
0,Авто-мото,yugen,0.13098389524267914
0,Авто-мото,zubr,0.13098389524267912
0,Авто-мото,akaso,0.1294954418876487
0,Авто-мото,k8,0.12860236987463042
0,Авто-мото,идемитсу,0.12726276185510302
0,Авто-мото,изготовитель(и),0.12503008182255737
0,Авто-мото,завод(ы,0.12503008182255737
0,Авто-мото,gsr600,0.12503008182255737
0,Авто-мото,arona,0.12503008182255737
0,Авто-мото,набить,0.12503008182255734
0,Авто-мото,gtk,0.12205317511249646
0,Авто-мото,персональное,0.12056472175746602
0,Авто-мото,https://www.youtube.com/channel/ucy4wvohp7cjxwoo_uidatkg,0.11959399130853311
0,Авто-мото,запросов/рекламе/спец.предложения,0.11959399130853311
0,Авто-мото,хлам),0.11959399130853311
0,Авто-мото,https://www.youtube.com/channel/uc7xdzjd4zkdfc2zqp3lfzhg,0.11959399130853311
0,Авто-мото,стримы),0.11959399130853311
0,Авто-мото,vladis.hero@gmail.com,0.11959399130853311
0,Авто-мото,https://boosty.to/vladizotov,0.11959399130853311
0,Авто-мото,https://www.twitch.tv/vladizotov,0.11959399130853311
0,Авто-мото,комерчиских,0.11959399130853311
0,Авто-мото,https://www.youtube.com/channel/ucu-puvoqm3p_ohvmfmg1-8q,0.11959399130853311
0,Авто-мото,стримов),0.11959399130853311
0,Авто-мото,https://goodgame.ru/channel/vladizotov,0.11959399130853311
0,Авто-мото,джунсун,0.11907626840243558
0,Авто-мото,р.*,0.11907626840243558
0,Авто-мото,4afe,0.11845841983997012
0,Авто-мото,horeca,0.11678634016392721
0,Авто-мото,autop,0.1160993616923747
0,Авто-мото,linglong,0.11609936169237468
